Resume_ID,Name,Skills,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Salary Expectation ($),Projects Count
RES-00001,Candidate 0001,"Python, Scikit-learn, SQL",1.5,PhD,1,Software Developer,Reject,61718,6
RES-00002,Candidate 0002,"JavaScript, React, HTML, CSS",4.1,Bachelor's,3,Cybersecurity Analyst,Reject,88786,3
RES-00003,Candidate 0003,"Java, HTML, CSS",0.0,Master's,4,Data Analyst,Hire,60771,5
RES-00004,Candidate 0004,"Python, Scikit-learn, SQL",7.0,Bachelor's,2,Cybersecurity Analyst,Reject,56626,10
RES-00005,Candidate 0005,"Python, Networking, Linux",5.1,Bachelor's,3,Software Developer,Hire,89843,4
RES-00006,Candidate 0006,"Python, Networking, Linux",2.8,Bachelor's,3,Cybersecurity Analyst,Hire,62647,4
RES-00007,Candidate 0007,"Java, HTML, CSS",2.7,Bachelor's,5,Software Developer,Hire,70435,6
RES-00008,Candidate 0008,"Python, SQL, Pandas",4.3,PhD,2,Web Developer,Hire,54350,4
RES-00009,Candidate 0009,"Python, SQL, Pandas",2.8,Bachelor's,0,Software Developer,Reject,25000,2
RES-00010,Candidate 0010,"Python, Networking, Linux",2.9,Bachelor's,1,Cybersecurity Analyst,Reject,73950,5
RES-00011,Candidate 0011,"Java, HTML, CSS",5.3,Bachelor's,2,ML Engineer,Hire,48975,7
RES-00012,Candidate 0012,"Java, HTML, CSS",4.8,Master's,1,ML Engineer,Reject,93151,4
RES-00013,Candidate 0013,"Python, Networking, Linux",3.3,Bachelor's,1,Cybersecurity Analyst,Hire,38716,3
RES-00014,Candidate 0014,"JavaScript, React, HTML, CSS",3.3,Bachelor's,1,Cybersecurity Analyst,Hire,36177,3
RES-00015,Candidate 0015,"Python, SQL, Pandas",3.9,Bachelor's,3,ML Engineer,Reject,87062,2
RES-00016,Candidate 0016,"Python, Networking, Linux",2.0,Bachelor's,0,ML Engineer,Reject,78259,3
RES-00017,Candidate 0017,"Python, Networking, Linux",2.5,Bachelor's,2,Software Developer,Hire,52497,5
RES-00018,Candidate 0018,"Python, Scikit-learn, SQL",4.9,Bachelor's,1,ML Engineer,Hire,49623,1
RES-00019,Candidate 0019,"JavaScript, React, HTML, CSS",3.2,Bachelor's,2,Web Developer,Hire,48240,5
RES-00020,Candidate 0020,"Python, Networking, Linux",0.1,Master's,1,Data Analyst,Hire,79570,3
RES-00021,Candidate 0021,"Java, HTML, CSS",2.3,Master's,2,Cybersecurity Analyst,Reject,73696,2
RES-00022,Candidate 0022,"Python, Scikit-learn, SQL",5.1,Master's,1,Cybersecurity Analyst,Hire,90318,4
RES-00023,Candidate 0023,"Python, Networking, Linux",2.9,Bachelor's,3,Cybersecurity Analyst,Reject,62605,7
RES-00024,Candidate 0024,"Python, Scikit-learn, SQL",3.1,Master's,3,Data Analyst,Hire,58490,9
RES-00025,Candidate 0025,"Python, Scikit-learn, SQL",5.1,Master's,1,Software Developer,Hire,46315,3
RES-00026,Candidate 0026,"JavaScript, React, HTML, CSS",8.1,Bachelor's,5,Data Analyst,Hire,50977,2
RES-00027,Candidate 0027,"Python, Networking, Linux",1.7,Master's,1,Software Developer,Reject,70878,3
RES-00028,Candidate 0028,"JavaScript, React, HTML, CSS",6.9,Bachelor's,3,Data Analyst,Hire,41934,2
RES-00029,Candidate 0029,"Python, SQL, Pandas",0.4,Bachelor's,2,Cybersecurity Analyst,Hire,41064,2
RES-00030,Candidate 0030,"Python, SQL, Pandas",3.9,Bachelor's,0,Software Developer,Reject,70344,4
RES-00031,Candidate 0031,"Python, Scikit-learn, SQL",0.6,Bachelor's,4,Software Developer,Hire,59862,4
RES-00032,Candidate 0032,"Python, Networking, Linux",6.9,Master's,4,Software Developer,Reject,56623,7
RES-00033,Candidate 0033,"Python, Networking, Linux",5.6,Bachelor's,3,Web Developer,Hire,52621,6
RES-00034,Candidate 0034,"Python, Networking, Linux",6.3,Bachelor's,3,Software Developer,Hire,44630,1
RES-00035,Candidate 0035,"Python, Scikit-learn, SQL",1.3,Bachelor's,3,Web Developer,Hire,56142,6
RES-00036,Candidate 0036,"Python, Scikit-learn, SQL",5.2,Master's,2,Cybersecurity Analyst,Reject,55971,1
RES-00037,Candidate 0037,"Python, Networking, Linux",2.2,Bachelor's,4,Data Analyst,Reject,87519,1
RES-00038,Candidate 0038,"Python, Scikit-learn, SQL",2.4,Bachelor's,1,ML Engineer,Hire,78983,3
RES-00039,Candidate 0039,"Java, HTML, CSS",4.8,Master's,0,ML Engineer,Hire,47880,5
RES-00040,Candidate 0040,"Java, HTML, CSS",5.7,Bachelor's,2,Web Developer,Hire,46403,8
RES-00041,Candidate 0041,"Python, Scikit-learn, SQL",4.0,Bachelor's,0,ML Engineer,Reject,70215,3
RES-00042,Candidate 0042,"JavaScript, React, HTML, CSS",1.9,Bachelor's,0,Data Analyst,Reject,62870,2
RES-00043,Candidate 0043,"Python, SQL, Pandas",1.4,Master's,2,ML Engineer,Reject,92558,6
RES-00044,Candidate 0044,"Python, SQL, Pandas",7.1,Bachelor's,1,Web Developer,Hire,41508,4
RES-00045,Candidate 0045,"Java, HTML, CSS",5.0,Bachelor's,4,ML Engineer,Hire,72579,3
RES-00046,Candidate 0046,"Python, Scikit-learn, SQL",5.3,Bachelor's,2,Web Developer,Hire,37197,2
RES-00047,Candidate 0047,"Python, Networking, Linux",9.0,Bachelor's,1,Web Developer,Hire,79045,7
RES-00048,Candidate 0048,"Python, Networking, Linux",1.5,Bachelor's,1,Software Developer,Hire,69751,3
RES-00049,Candidate 0049,"Python, SQL, Pandas",9.9,Bachelor's,3,Software Developer,Hire,82563,2
RES-00050,Candidate 0050,"Python, SQL, Pandas",11.4,Master's,4,ML Engineer,Hire,64253,3
RES-00051,Candidate 0051,"Python, Networking, Linux",7.5,Bachelor's,2,Data Analyst,Hire,78280,9
RES-00052,Candidate 0052,"Python, Scikit-learn, SQL",5.6,Bachelor's,0,Data Analyst,Reject,68980,5
RES-00053,Candidate 0053,"Java, HTML, CSS",1.8,Bachelor's,1,Data Analyst,Reject,65510,3
RES-00054,Candidate 0054,"Python, Scikit-learn, SQL",6.0,Master's,1,Data Analyst,Hire,93837,5
RES-00055,Candidate 0055,"Java, HTML, CSS",2.4,Bachelor's,0,Web Developer,Reject,91289,5
RES-00056,Candidate 0056,"JavaScript, React, HTML, CSS",3.4,Master's,0,Software Developer,Hire,94487,3
RES-00057,Candidate 0057,"Java, HTML, CSS",2.8,Bachelor's,3,Data Analyst,Reject,78922,5
RES-00058,Candidate 0058,"Java, HTML, CSS",4.2,Bachelor's,2,Data Analyst,Hire,60358,2
RES-00059,Candidate 0059,"Java, HTML, CSS",6.7,Bachelor's,5,Web Developer,Hire,47637,2
RES-00060,Candidate 0060,"Python, Scikit-learn, SQL",2.1,Bachelor's,0,Data Analyst,Reject,59705,4
RES-00061,Candidate 0061,"Java, HTML, CSS",1.0,Master's,0,Data Analyst,Reject,42492,4
RES-00062,Candidate 0062,"Python, SQL, Pandas",1.0,Bachelor's,1,ML Engineer,Hire,50523,3
RES-00063,Candidate 0063,"Python, Scikit-learn, SQL",1.1,Master's,2,Software Developer,Hire,67396,4
RES-00064,Candidate 0064,"Python, Scikit-learn, SQL",0.0,Bachelor's,3,Data Analyst,Reject,63371,6
RES-00065,Candidate 0065,"Python, SQL, Pandas",1.2,Bachelor's,3,Web Developer,Reject,66807,5
RES-00066,Candidate 0066,"Python, Networking, Linux",6.7,PhD,1,Data Analyst,Hire,70502,3
RES-00067,Candidate 0067,"Python, Scikit-learn, SQL",2.0,Master's,2,Web Developer,Reject,96070,4
RES-00068,Candidate 0068,"JavaScript, React, HTML, CSS",4.1,PhD,2,ML Engineer,Reject,60828,1
RES-00069,Candidate 0069,"Python, Networking, Linux",0.5,Bachelor's,1,ML Engineer,Hire,30448,6
RES-00070,Candidate 0070,"Java, HTML, CSS",3.9,Master's,5,Software Developer,Reject,71942,3
RES-00071,Candidate 0071,"Python, Scikit-learn, SQL",0.0,Bachelor's,3,Cybersecurity Analyst,Hire,76734,9
RES-00072,Candidate 0072,"Python, Networking, Linux",1.8,Bachelor's,3,ML Engineer,Reject,79023,2
RES-00073,Candidate 0073,"Python, Scikit-learn, SQL",9.1,Bachelor's,2,Software Developer,Hire,118346,9
RES-00074,Candidate 0074,"Java, HTML, CSS",2.0,Bachelor's,3,ML Engineer,Reject,35030,2
RES-00075,Candidate 0075,"Python, Networking, Linux",6.3,Bachelor's,3,Data Analyst,Hire,47716,11
RES-00076,Candidate 0076,"Python, Networking, Linux",4.6,Bachelor's,1,Software Developer,Reject,70765,2
RES-00077,Candidate 0077,"Python, Networking, Linux",3.1,Bachelor's,2,Cybersecurity Analyst,Hire,77366,6
RES-00078,Candidate 0078,"Python, SQL, Pandas",1.9,Bachelor's,3,Cybersecurity Analyst,Hire,80049,2
RES-00079,Candidate 0079,"Python, SQL, Pandas",6.7,Master's,0,Software Developer,Hire,98377,6
RES-00080,Candidate 0080,"Python, Networking, Linux",3.1,Master's,3,Cybersecurity Analyst,Hire,50236,6
RES-00081,Candidate 0081,"Python, SQL, Pandas",7.3,Bachelor's,1,Software Developer,Hire,85281,4
RES-00082,Candidate 0082,"Java, HTML, CSS",1.7,Bachelor's,4,Data Analyst,Reject,68002,2
RES-00083,Candidate 0083,"Python, Scikit-learn, SQL",3.6,PhD,3,Web Developer,Hire,99002,9
RES-00084,Candidate 0084,"Python, Scikit-learn, SQL",4.7,Bachelor's,2,ML Engineer,Reject,53267,8
RES-00085,Candidate 0085,"Python, Scikit-learn, SQL",4.4,PhD,1,Data Analyst,Hire,64147,1
RES-00086,Candidate 0086,"Python, Networking, Linux",0.4,Bachelor's,1,Software Developer,Reject,58208,6
RES-00087,Candidate 0087,"Python, Networking, Linux",1.8,Bachelor's,2,Cybersecurity Analyst,Reject,52584,4
RES-00088,Candidate 0088,"Python, Networking, Linux",3.0,Bachelor's,9,Data Analyst,Hire,94641,5
RES-00089,Candidate 0089,"Python, Scikit-learn, SQL",1.4,Bachelor's,5,Software Developer,Hire,76597,6
RES-00090,Candidate 0090,"Python, Scikit-learn, SQL",5.2,Bachelor's,2,ML Engineer,Hire,92139,2
RES-00091,Candidate 0091,"Java, HTML, CSS",5.0,Master's,5,Web Developer,Hire,96695,5
RES-00092,Candidate 0092,"Python, Scikit-learn, SQL",0.0,Bachelor's,3,Cybersecurity Analyst,Hire,63045,9
RES-00093,Candidate 0093,"Python, Networking, Linux",0.0,Bachelor's,4,Cybersecurity Analyst,Reject,83570,2
RES-00094,Candidate 0094,"Python, Networking, Linux",0.3,Bachelor's,2,Web Developer,Reject,90158,6
RES-00095,Candidate 0095,"Python, Networking, Linux",3.8,Bachelor's,3,ML Engineer,Hire,84434,2
RES-00096,Candidate 0096,"Java, HTML, CSS",8.6,Bachelor's,1,Cybersecurity Analyst,Hire,98536,10
RES-00097,Candidate 0097,"Python, Scikit-learn, SQL",2.5,Bachelor's,0,Web Developer,Hire,79168,3
RES-00098,Candidate 0098,"Java, HTML, CSS",4.1,Master's,2,ML Engineer,Reject,27082,0
RES-00099,Candidate 0099,"Java, HTML, CSS",0.8,Bachelor's,2,Cybersecurity Analyst,Reject,94673,1
RES-00100,Candidate 0100,"Java, HTML, CSS",0.9,Master's,1,Software Developer,Reject,25000,4
RES-00101,Candidate 0101,"Python, Networking, Linux",0.0,Bachelor's,1,Data Analyst,Reject,84426,2
RES-00102,Candidate 0102,"Python, Networking, Linux",3.4,Bachelor's,1,Cybersecurity Analyst,Reject,95680,3
RES-00103,Candidate 0103,"JavaScript, React, HTML, CSS",5.9,Bachelor's,2,ML Engineer,Hire,39762,4
RES-00104,Candidate 0104,"Python, Networking, Linux",2.6,Master's,4,Cybersecurity Analyst,Hire,37596,6
RES-00105,Candidate 0105,"Python, Networking, Linux",7.0,Master's,0,Cybersecurity Analyst,Hire,76303,1
RES-00106,Candidate 0106,"Java, HTML, CSS",4.0,Master's,3,Web Developer,Reject,84693,6
RES-00107,Candidate 0107,"Java, HTML, CSS",3.4,Master's,0,Data Analyst,Reject,71669,7
RES-00108,Candidate 0108,"Python, SQL, Pandas",4.8,Master's,4,ML Engineer,Hire,39213,8
RES-00109,Candidate 0109,"Python, SQL, Pandas",4.7,Master's,3,ML Engineer,Hire,103632,3
RES-00110,Candidate 0110,"JavaScript, React, HTML, CSS",6.4,Master's,2,Web Developer,Reject,80666,1
RES-00111,Candidate 0111,"JavaScript, React, HTML, CSS",1.5,Master's,3,Data Analyst,Hire,36299,5
RES-00112,Candidate 0112,"Python, Scikit-learn, SQL",0.0,Bachelor's,2,Software Developer,Reject,86788,2
RES-00113,Candidate 0113,"Java, HTML, CSS",3.8,Bachelor's,3,Web Developer,Reject,25000,3
RES-00114,Candidate 0114,"JavaScript, React, HTML, CSS",2.0,Bachelor's,1,Web Developer,Reject,79567,2
RES-00115,Candidate 0115,"Python, SQL, Pandas",3.4,Master's,3,Cybersecurity Analyst,Hire,26076,0
RES-00116,Candidate 0116,"Python, Networking, Linux",7.7,Bachelor's,5,Data Analyst,Hire,79325,4
RES-00117,Candidate 0117,"Java, HTML, CSS",0.7,Master's,0,ML Engineer,Reject,75170,2
RES-00118,Candidate 0118,"Python, Networking, Linux",5.4,Bachelor's,1,Data Analyst,Reject,94766,5
RES-00119,Candidate 0119,"JavaScript, React, HTML, CSS",5.9,Bachelor's,1,ML Engineer,Reject,72897,6
RES-00120,Candidate 0120,"Python, SQL, Pandas",4.7,Bachelor's,2,Software Developer,Hire,58042,4
RES-00121,Candidate 0121,"JavaScript, React, HTML, CSS",6.3,Master's,1,Software Developer,Reject,39698,3
RES-00122,Candidate 0122,"Python, SQL, Pandas",2.4,Master's,2,Data Analyst,Hire,45691,4
RES-00123,Candidate 0123,"Python, SQL, Pandas",1.8,Bachelor's,2,Cybersecurity Analyst,Reject,89060,5
RES-00124,Candidate 0124,"Python, SQL, Pandas",6.1,Master's,0,Software Developer,Reject,71032,4
RES-00125,Candidate 0125,"Python, SQL, Pandas",5.3,Master's,0,Cybersecurity Analyst,Reject,80114,2
RES-00126,Candidate 0126,"Python, Scikit-learn, SQL",7.0,Bachelor's,5,Software Developer,Hire,73642,5
RES-00127,Candidate 0127,"Python, SQL, Pandas",4.0,Master's,3,ML Engineer,Hire,43092,7
RES-00128,Candidate 0128,"Python, SQL, Pandas",7.6,Master's,2,Software Developer,Hire,71065,2
RES-00129,Candidate 0129,"JavaScript, React, HTML, CSS",2.8,Bachelor's,0,Software Developer,Reject,56984,4
RES-00130,Candidate 0130,"Python, Networking, Linux",0.8,Bachelor's,0,Cybersecurity Analyst,Reject,25000,5
RES-00131,Candidate 0131,"Python, Networking, Linux",0.0,Bachelor's,1,Data Analyst,Reject,85298,2
RES-00132,Candidate 0132,"JavaScript, React, HTML, CSS",0.7,Bachelor's,1,Web Developer,Reject,55233,5
RES-00133,Candidate 0133,"Python, Networking, Linux",5.5,Master's,0,Data Analyst,Hire,59648,5
RES-00134,Candidate 0134,"Python, SQL, Pandas",0.0,Bachelor's,0,Web Developer,Reject,80814,3
RES-00135,Candidate 0135,"JavaScript, React, HTML, CSS",2.4,Bachelor's,0,Cybersecurity Analyst,Hire,61971,2
RES-00136,Candidate 0136,"Python, Scikit-learn, SQL",8.8,Bachelor's,6,Data Analyst,Reject,63894,1
RES-00137,Candidate 0137,"Python, SQL, Pandas",5.6,Bachelor's,2,Cybersecurity Analyst,Reject,104234,3
RES-00138,Candidate 0138,"Python, Networking, Linux",8.0,Master's,1,Cybersecurity Analyst,Hire,73844,4
RES-00139,Candidate 0139,"Java, HTML, CSS",1.0,Master's,3,ML Engineer,Hire,88466,5
RES-00140,Candidate 0140,"Java, HTML, CSS",0.0,Master's,0,Cybersecurity Analyst,Reject,25000,5
RES-00141,Candidate 0141,"Python, Networking, Linux",7.3,Bachelor's,1,Web Developer,Hire,68057,3
RES-00142,Candidate 0142,"Python, Scikit-learn, SQL",0.0,Master's,3,Cybersecurity Analyst,Hire,77921,7
RES-00143,Candidate 0143,"Python, SQL, Pandas",3.7,Bachelor's,0,Cybersecurity Analyst,Reject,59574,4
RES-00144,Candidate 0144,"Python, Networking, Linux",4.0,Bachelor's,0,Data Analyst,Hire,96969,4
RES-00145,Candidate 0145,"Java, HTML, CSS",1.1,PhD,3,Data Analyst,Hire,43960,3
RES-00146,Candidate 0146,"Java, HTML, CSS",7.4,Bachelor's,1,Software Developer,Hire,79131,2
RES-00147,Candidate 0147,"Python, Networking, Linux",7.4,Master's,5,Software Developer,Hire,61330,4
RES-00148,Candidate 0148,"Python, Scikit-learn, SQL",4.9,Bachelor's,1,Cybersecurity Analyst,Hire,36110,2
RES-00149,Candidate 0149,"Java, HTML, CSS",3.4,Bachelor's,2,Software Developer,Hire,66273,6
RES-00150,Candidate 0150,"JavaScript, React, HTML, CSS",4.0,Bachelor's,1,Web Developer,Hire,58834,7
RES-00151,Candidate 0151,"Python, SQL, Pandas",0.8,Bachelor's,4,Web Developer,Reject,84024,6
RES-00152,Candidate 0152,"Java, HTML, CSS",2.9,Bachelor's,2,Cybersecurity Analyst,Hire,63847,4
RES-00153,Candidate 0153,"Java, HTML, CSS",3.2,Master's,1,Web Developer,Hire,90348,2
RES-00154,Candidate 0154,"Python, SQL, Pandas",1.4,Bachelor's,2,Software Developer,Hire,46248,2
RES-00155,Candidate 0155,"Java, HTML, CSS",5.6,Bachelor's,1,Web Developer,Hire,60138,5
RES-00156,Candidate 0156,"Python, Networking, Linux",0.0,Bachelor's,3,Cybersecurity Analyst,Reject,25000,3
RES-00157,Candidate 0157,"Python, SQL, Pandas",2.4,Master's,1,Cybersecurity Analyst,Reject,82976,2
RES-00158,Candidate 0158,"JavaScript, React, HTML, CSS",0.0,Bachelor's,1,Cybersecurity Analyst,Hire,25000,8
RES-00159,Candidate 0159,"Python, Scikit-learn, SQL",4.7,Bachelor's,0,ML Engineer,Reject,96694,6
RES-00160,Candidate 0160,"Python, Networking, Linux",5.4,Master's,3,Software Developer,Hire,66301,3
RES-00161,Candidate 0161,"Java, HTML, CSS",5.1,Bachelor's,1,Cybersecurity Analyst,Reject,48920,5
RES-00162,Candidate 0162,"Python, Networking, Linux",10.8,Master's,1,Web Developer,Reject,79520,4
RES-00163,Candidate 0163,"Python, SQL, Pandas",5.8,Master's,1,Software Developer,Hire,71621,3
RES-00164,Candidate 0164,"Python, Scikit-learn, SQL",1.1,Master's,0,Cybersecurity Analyst,Hire,25000,6
RES-00165,Candidate 0165,"Python, Scikit-learn, SQL",10.2,Bachelor's,4,Software Developer,Hire,83032,3
RES-00166,Candidate 0166,"Python, SQL, Pandas",1.2,Master's,6,Data Analyst,Hire,110292,4
RES-00167,Candidate 0167,"JavaScript, React, HTML, CSS",5.5,Bachelor's,2,Software Developer,Hire,26489,4
RES-00168,Candidate 0168,"JavaScript, React, HTML, CSS",5.4,Master's,2,Software Developer,Reject,70769,4
